original_annotation,new_annotation,relationship,evidence
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) (EC 1.2.1.12),Exact,"The annotations ""NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)"" and ""Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) (EC 1.2.1.12)"" refer to the same enzyme, as indicated by the identical EC number 1.2.1.12, which specifies the enzyme's function as a glyceraldehyde-3-phosphate dehydrogenase that utilizes NAD as a cofactor. The term ""phosphorylating"" is a standard descriptor for this enzyme's activity, emphasizing its role in the glycolytic pathway where it catalyzes the phosphorylation of glyceraldehyde-3-phosphate. Both annotations describe the same biological entity with minor differences in phrasing, consistent with established conventions in enzyme nomenclature"
Multidrug resistance protein MdtH,Uncharacterized MFS-type transporter YajR,Different,"The original annotation ""Multidrug resistance protein MdtH"" and the updated annotation ""Uncharacterized MFS-type transporter YajR"" describe distinct biological entities. MdtH is specifically identified as a multidrug resistance protein, suggesting a role in efflux of various drugs, typically associated with resistance mechanisms. In contrast, YajR is described as an uncharacterized member of the Major Facilitator Superfamily (MFS), which is a large and diverse group of transporters that can have various functions, not limited to drug resistance. The lack of specific characterization for YajR and its classification as an MFS-type transporter indicates a broader and potentially different function than the specific multidrug resistance role of MdtH. This distinction is supported by the absence of shared functional details or specific EC numbers that would suggest a synonym or related relationship"
"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",6-phosphogluconate dehydrogenase [decarboxylating] (EC 1.1.1.44),Exact,"The annotations ""6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"" and ""6-phosphogluconate dehydrogenase [decarboxylating] (EC 1.1.1.44)"" refer to the identical enzyme, as indicated by the consistent EC number 1.1.1.44, which specifies the same enzymatic activity. The difference between the two annotations is purely in punctuation style, with the updated version using brackets instead of a comma to denote the decarboxylating function. This is a minor formatting change that does not alter the biological identity or function of the enzyme, consistent with conventions in curated databases where such stylistic variations are common"
Malate:quinone oxidoreductase (EC 1.1.5.4),Malate dehydrogenase (quinone) (EC 1.1.5.4),Exact,"The annotations ""Malate:quinone oxidoreductase (EC 1.1.5.4)"" and ""Malate dehydrogenase (quinone) (EC 1.1.5.4)"" refer to the same enzyme activity, as indicated by the identical EC number 1.1.5.4. This EC number specifies an enzyme that catalyzes the oxidation of malate to oxaloacetate using quinone as an electron acceptor. The difference in naming is a minor variation in phrasing, with both terms recognized as equivalent in biological databases. The updated name reflects a systematic naming convention that aligns with the enzyme's function, but does not change the biological entity described"
Inositol-1-monophosphatase (EC 3.1.3.25),Nus factor SuhB @ Inositol-1-monophosphatase (EC 3.1.3.25),Related,"The original annotation ""Inositol-1-monophosphatase (EC 3.1.3.25)"" describes a specific enzyme activity involved in the hydrolysis of inositol monophosphate. The updated annotation ""Nus factor SuhB @ Inositol-1-monophosphatase (EC 3.1.3.25)"" introduces a new element, ""Nus factor SuhB,"" which suggests a functional or regulatory role associated with the enzyme activity. Nus factors are typically involved in transcriptional regulation, indicating that SuhB may have a dual role or be part of a complex that includes inositol-1-monophosphatase activity. This reflects a relationship where the annotations describe related but non-equivalent biological entities, as SuhB may have additional functions beyond the enzymatic activity specified by EC 3.1.3.25"
tRNA-specific adenosine-34 deaminase (EC 3.5.4.33),tRNA adenosine(34) deaminase (EC 3.5.4.33),Exact,"The annotations ""tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)"" and ""tRNA adenosine(34) deaminase (EC 3.5.4.33)"" refer to the same enzyme activity, as indicated by the identical EC number 3.5.4.33, which specifies the enzymatic function of deaminating adenosine at position 34 in tRNA. The difference in wording is a minor formatting change, with the updated version using parentheses for the position number, which is a common practice in systematic naming conventions to denote specific sites within a molecule. Both annotations describe the same biological entity with no change in function or specificity"
Chaperone protein DnaK,Heat shock protein 70,Synonym,"The terms ""Chaperone protein DnaK"" and ""Heat shock protein 70"" refer to the same biological entity, specifically the Hsp70 family of heat shock proteins. DnaK is the bacterial homolog of the eukaryotic Hsp70, and both terms are used interchangeably in biological databases to describe proteins that assist in protein folding and stress response. This naming convention is recognized across various databases, including UniProt, where DnaK is classified under the Hsp70 family. Therefore, these annotations are synonyms, reflecting different nomenclature for the same protein function"
Outer membrane protein A,OmpA protein,Exact,"The terms 'Outer membrane protein A' and 'OmpA protein' refer to the same biological entity. 'OmpA' is a widely recognized abbreviation for 'Outer membrane protein A' in bacterial nomenclature, particularly in Escherichia coli and related species. The addition of 'protein' in the updated annotation does not change the identity of the entity, as it is a common practice to specify the nature of the entity as a protein. This is consistent with naming conventions in databases like UniProt, where 'OmpA' is used interchangeably with 'Outer membrane protein A'."""
Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"The annotations ""Phage tail length tape-measure protein T"" and ""Phage tail, tail length tape-measure protein"" refer to the same biological entity with only minor formatting differences. Both describe the tape-measure protein involved in determining the length of the phage tail, a well-established function in phage biology. The updated annotation simply rearranges the phrasing without altering the meaning or specificity of the protein's role. This is consistent with standard practices in biological databases where minor changes in word order or punctuation do not affect the identity of the protein"
"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)",Methylenetetrahydrofolate reductase (NAD(P)H) (EC 1.5.1.20),Exact,"The annotations ""5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"" and ""Methylenetetrahydrofolate reductase (NAD(P)H) (EC 1.5.1.20)"" refer to the same enzyme, as indicated by the identical EC number 1.5.1.20, which specifies the enzyme's activity. The updated annotation includes the cofactors NAD(P)H, which are commonly associated with this enzyme's function, providing additional specificity but not altering the fundamental identity of the enzyme. This is consistent with database conventions where minor updates to nomenclature, such as specifying cofactors, are considered exact matches when the core function and classification remain unchanged"
LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Exact,"The original and updated annotations refer to the identical biological entity, the LSU rRNA pseudouridine(1911/1915/1917) synthase, with the same EC number (5.4.99.23), indicating no change in the enzyme's classification or function. The addition of 'RluD' in the updated annotation is a recognized gene name or synonym for this specific enzyme, commonly used in biological databases to provide additional context or identification. This addition does not alter the fundamental identity of the enzyme but rather enhances the annotation with a specific gene name, which is a common practice in curated databases to improve clarity and searchability."""
tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Exact,"The original and updated annotations refer to the identical biological entity, tRNA (guanine(37)-N(1))-methyltransferase, with the same EC number (2.1.1.228), indicating no change in the enzyme's classification or function. The addition of ""## TrmD"" in the updated annotation is a minor formatting change that provides a specific gene name commonly associated with this enzyme in bacterial systems, but does not alter the biological identity or function described. This is consistent with database conventions where gene names are often appended to enzyme names for clarity without changing the fundamental annotation"
16S rRNA processing protein RimM,Bacterial SSU rRNA processing protein RimM,Exact,"The original annotation '16S rRNA processing protein RimM' and the updated annotation 'Bacterial SSU rRNA processing protein RimM' refer to the same biological entity, RimM, which is involved in the processing of the small subunit (SSU) rRNA in bacteria. The term '16S rRNA' is synonymous with 'SSU rRNA' in bacterial systems, as 16S rRNA is the component of the SSU in prokaryotes. The addition of 'Bacterial' specifies the organism type but does not change the fundamental identity or function of the protein. This is a minor update reflecting standard nomenclature practices without altering the biological entity described."""
Carbon storage regulator,RNA-binding protein CsrA,Related,"The original annotation 'Carbon storage regulator' and the updated annotation 'RNA-binding protein CsrA' describe related but non-equivalent biological entities. CsrA is a well-characterized RNA-binding protein that regulates carbon storage and metabolism by binding to mRNA and affecting its stability and translation. The term 'Carbon storage regulator' is broader and could refer to various proteins involved in carbon storage regulation, not exclusively CsrA. While CsrA is indeed a key player in carbon storage regulation, the original term does not specify the mechanism or the molecular function (RNA-binding) that CsrA performs. Therefore, the updated annotation provides more specific information about the protein's function and mechanism, but the two terms are related through their involvement in carbon storage regulation."""
DNA gyrase subunit B (EC 5.99.1.3),DNA gyrase subunit B (EC 5.6.2.2),Different,"The original annotation (EC 5.99.1.3) and the updated annotation (EC 5.6.2.2) refer to distinct enzyme classifications according to the Enzyme Commission (EC) numbering system. EC 5.99.1.3 was historically used for DNA gyrase, which is involved in introducing negative supercoils into DNA, a function associated with topoisomerases. However, EC 5.6.2.2 represents a reclassification that specifically addresses the mechanism of DNA gyrase as a type II topoisomerase, focusing on its role in ATP-dependent strand passage. This change reflects a shift in understanding of the enzyme's mechanism rather than a simple update or synonym. The EC number change from 5.99.1.3 to 5.6.2.2 indicates a significant reclassification, suggesting a different functional categorization rather than a mere update or synonym"
Alkyl hydroperoxide reductase protein C (EC 1.11.1.15),NADH-dependent alkyl hydroperoxide reductase component AhpC (EC 1.11.1.26),Different,"The original annotation ""Alkyl hydroperoxide reductase protein C (EC 1.11.1.15)"" and the updated annotation ""NADH-dependent alkyl hydroperoxide reductase component AhpC (EC 1.11.1.26)"" describe distinct biological entities based on their EC numbers and cofactor dependencies. EC 1.11.1.15 refers to an enzyme that reduces hydroperoxides using thioredoxin as an electron donor, while EC 1.11.1.26 specifies an enzyme that uses NADH as an electron donor. This change in cofactor indicates a fundamental difference in enzymatic activity and mechanism, thus classifying them as different entities according to enzyme commission standards"
Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1),"Succinate dehydrogenase (quinone), iron-sulfur subunit (EC 1.3.5.1)",Exact,"The annotations refer to the same biological entity, the iron-sulfur subunit of succinate dehydrogenase, with the same EC number (1.3.5.1) indicating its role in the electron transport chain where it catalyzes the oxidation of succinate to fumarate with the reduction of quinone. The updated annotation includes ""quinone"" to specify the electron acceptor, which is consistent with the enzyme's function in the respiratory chain, and ""subunit"" to clarify its role within the multi-subunit complex. These additions do not change the fundamental identity of the protein but provide more precise context, aligning with established conventions in biological databases"
Queuine tRNA-ribosyltransferase (EC 2.4.2.29),tRNA-guanosine(34) preQ1 transglycosylase (EC 2.4.2.29),Exact,"Both annotations refer to the same enzyme activity, as indicated by the identical EC number (2.4.2.29), which specifies the enzyme class and function. The updated annotation provides a more detailed description of the substrate specificity, indicating the position of guanosine (34) in tRNA and the precursor molecule preQ1 involved in the transglycosylation process. This specificity does not change the fundamental identity of the enzyme but rather clarifies its action, aligning with established conventions for enzyme nomenclature updates. The original and updated names are alternative but equivalent phrasings for the same enzymatic activity, consistent with database standards"
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8),Phosphoadenylyl-sulfate reductase (thioredoxin) (EC 1.8.4.8),Exact,"The annotations ""Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)"" and ""Phosphoadenylyl-sulfate reductase (thioredoxin) (EC 1.8.4.8)"" refer to the identical biological entity, with only minor formatting differences. The change from square brackets to parentheses does not alter the meaning or function of the enzyme, as both indicate the involvement of thioredoxin in the enzymatic activity. The EC number remains consistent, confirming the same enzymatic function. This type of formatting adjustment is common in curated databases to standardize nomenclature without changing the underlying biological identity"
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1),Aspartate aminotransferase (EC 2.6.1.3),Different,"The original annotation ""Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1)"" describes a specific enzyme involved in the biosynthesis of aromatic amino acids, with EC 2.6.1.57 indicating its specific activity. The updated annotation ""Aspartate aminotransferase (EC 2.6.1.3)"" refers to a different enzyme with a distinct EC number, indicating a different substrate specificity and function. EC 2.6.1.3 is associated with the transfer of an amino group from aspartate, whereas EC 2.6.1.57 is involved in aromatic amino acid metabolism. These annotations describe distinct biological entities with different enzymatic activities, as evidenced by their separate EC classifications"
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227),Exact,"Both annotations refer to the same enzyme activity, as indicated by the identical EC number (2.4.1.227), which specifies the enzyme as a transferase involved in the transfer of N-acetylglucosamine to undecaprenyldiphospho-muramoylpentapeptide. The differences in wording reflect alternative but equivalent phrasing for the same enzymatic function, with both names describing the transfer of N-acetylglucosamine to a lipid-linked oligosaccharide precursor in bacterial cell wall biosynthesis. The updated annotation uses a more systematic naming convention, but both describe the same biological entity without altering the functional description"
D-alanine--D-alanine ligase (EC 6.3.2.4),D-alanine--D-alanine ligase (EC 6.3.2.4) ## cluster A,Exact,"The original and updated annotations refer to the identical biological entity, D-alanine--D-alanine ligase, with the same EC number (6.3.2.4), indicating no change in the enzyme's classification or function. The addition of ""## cluster A"" in the updated annotation is a minor formatting change that does not alter the biological identity or function of the enzyme. This type of modification is consistent with database conventions where clustering information may be appended for organizational purposes without affecting the core annotation"
Cell division trigger factor (EC 5.2.1.8),Trigger factor (EC 5.2.1.8),Exact,"The annotations ""Cell division trigger factor (EC 5.2.1.8)"" and ""Trigger factor (EC 5.2.1.8)"" refer to the same biological entity, as evidenced by the identical EC number, 5.2.1.8, which specifies the enzyme's activity as a peptidyl-prolyl cis-trans isomerase. The term ""Cell division"" in the original annotation is a descriptive addition that specifies the biological context in which the trigger factor operates, but does not alter the fundamental identity of the protein. The updated annotation simplifies the name to ""Trigger factor,"" which is a recognized name for this enzyme in biological databases, maintaining the same functional identity. Therefore, the relationship between these annotations is exact, with only minor differences in descriptive phrasing"
Rod shape-determining protein RodA,Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129),Related,"The original annotation 'Rod shape-determining protein RodA' refers to a protein involved in determining the rod shape of bacterial cells, typically associated with the cell wall synthesis machinery. The updated annotation 'Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129)' specifies an enzyme involved in peptidoglycan synthesis, which is a critical component of the bacterial cell wall and contributes to cell shape. While both annotations are related to cell wall synthesis and shape determination, they describe different aspects: RodA is more focused on the structural role in shape determination, whereas MrdB is specifically an enzyme with glycosyltransferase activity involved in peptidoglycan biosynthesis. These annotations describe related but distinct biological entities within the same cellular context."""
Colicin V production protein,Protein CvpA required for colicin V production,Related,"The original annotation ""Colicin V production protein"" refers to a protein involved in the production of colicin V, a type of bacteriocin. The updated annotation ""Protein CvpA required for colicin V production"" specifies a particular protein, CvpA, which is necessary for the production of colicin V. While both annotations are related through their involvement in colicin V production, the updated annotation identifies a specific protein (CvpA) that plays a role in this process, suggesting a more precise function within the broader context of colicin V production. This indicates a relationship where the original annotation describes a general function, and the updated annotation specifies a particular component involved in that function"
Transcription termination protein NusB,Transcription antitermination protein NusB,Related,"The annotations describe related but non-equivalent biological entities. The original term 'Transcription termination protein NusB' suggests a role in ending transcription, while the updated term 'Transcription antitermination protein NusB' indicates a function in preventing termination, allowing transcription to continue. Both functions are associated with NusB's role in transcription regulation, but they represent distinct processes within the transcription cycle. This distinction is recognized in biological databases, where NusB is known to participate in antitermination complexes, particularly in bacterial systems."""
Glucose-6-phosphate isomerase,Isomerase,Broader,"The original annotation ""Glucose-6-phosphate isomerase"" refers to a specific enzyme that catalyzes the isomerization of glucose-6-phosphate to fructose-6-phosphate, typically classified under EC 5.3.1.9. The updated annotation ""Isomerase"" is a broader term that encompasses a wide range of enzymes that catalyze the isomerization of molecules, including but not limited to glucose-6-phosphate isomerase. This change represents a shift from a specific enzyme to a general enzyme class, losing the specificity of the substrate and reaction type described in the original annotation"
Phage tail fiber protein,Phage structural protein,Broader,"The original annotation ""Phage tail fiber protein"" refers to a specific component of the phage structure, typically involved in host recognition and attachment. The updated annotation ""Phage structural protein"" is broader, as it encompasses a wider range of phage components, including tail fibers, capsid proteins, and other structural elements. This change reflects a generalization from a specific structural role to a broader category of phage proteins, which may include multiple structural components beyond just the tail fibers. This is consistent with database conventions where broader terms are used to describe general categories of proteins within a complex structure like a phage"
Alanine racemase,Racemase,Broader,"The updated annotation 'Racemase' is broader than the original 'Alanine racemase'. Alanine racemase is a specific type of racemase that catalyzes the conversion of L-alanine to D-alanine, typically classified under EC 5.1.1.1. The term 'Racemase' refers to a general class of enzymes that catalyze the conversion of one stereoisomer to another, without specifying the substrate. Therefore, 'Racemase' encompasses a wider range of enzymes beyond just alanine racemase, including those acting on other amino acids or substrates. This change reflects a shift from a specific enzyme to a general enzyme class, consistent with database conventions for enzyme classification."""
NADH dehydrogenase subunit 1,Respiratory chain protein,Related,"The original annotation 'NADH dehydrogenase subunit 1' refers to a specific component of the respiratory chain, typically involved in electron transfer from NADH to the electron transport chain, often associated with complex I in mitochondria or similar structures in prokaryotes. The updated annotation 'Respiratory chain protein' is broader and could refer to any protein involved in the respiratory chain, including various complexes and subunits. While NADH dehydrogenase subunit 1 is indeed part of the respiratory chain, the updated term does not specify which part or subunit, making them related but not equivalent annotations."""
DNA polymerase III subunit alpha,DNA polymerase,Related,"The original annotation 'DNA polymerase III subunit alpha' refers to a specific subunit of the DNA polymerase III holoenzyme, which is responsible for the majority of DNA synthesis in bacteria. The updated annotation 'DNA polymerase' is a broader term that can refer to any DNA polymerase enzyme, including but not limited to DNA polymerase III, I, II, and others. While both annotations are related in that they involve DNA synthesis, the original is specific to a subunit of a particular polymerase complex, whereas the updated term encompasses a wider range of polymerase enzymes. This reflects a relationship where the original is a specific component of a broader category described by the updated annotation."""
DNA ligase (NAD+) (EC 6.5.1.2),DNA-binding protein,Different,"The original annotation 'DNA ligase (NAD+) (EC 6.5.1.2)' refers to a specific enzyme that catalyzes the joining of DNA strands using NAD+ as a cofactor, as indicated by its EC number. This is a well-defined enzymatic activity. The updated annotation 'DNA-binding protein' is a broad term that refers to any protein capable of binding to DNA, which encompasses a wide range of functions and does not specify enzymatic activity or cofactor usage. These annotations describe completely distinct biological entities, with no overlap in function or classification according to established enzyme and protein nomenclature conventions."""
Phage portal protein,Phage protein,Broader,"The original annotation ""Phage portal protein"" refers to a specific structural component of a bacteriophage, which is involved in the formation of the portal vertex of the phage capsid, playing a crucial role in DNA packaging and release. The updated annotation ""Phage protein"" is more general and encompasses a wider range of proteins associated with phages, including but not limited to portal proteins. This change represents a loss of specificity, as it broadens the scope from a specific protein type to any protein associated with phages, without detailing the specific function or role. This aligns with database conventions where broader terms are used to describe general categories rather than specific entities"
DNA gyrase subunit A (EC 5.6.2.2),DNA topoisomerase,Related,"The original annotation 'DNA gyrase subunit A (EC 5.6.2.2)' refers to a specific subunit of the DNA gyrase enzyme, which is a type of DNA topoisomerase involved in introducing negative supercoils into DNA. The updated annotation 'DNA topoisomerase' is a broader term that encompasses various enzymes, including DNA gyrase, that alter the topological states of DNA. While DNA gyrase is a specific type of topoisomerase (Type II), the term 'DNA topoisomerase' could refer to either Type I or Type II enzymes, and does not specify the subunit or the exact function of introducing supercoils. Therefore, these annotations describe related but non-equivalent biological entities, as they refer to different levels of specificity within the topoisomerase family."""
3-dehydroquinate synthase (EC 4.2.3.4),Biosynthetic enzyme,Broader,"The original annotation '3-dehydroquinate synthase (EC 4.2.3.4)' specifies a particular enzyme with a defined EC number, indicating its role in catalyzing a specific reaction in the shikimate pathway. The updated annotation 'Biosynthetic enzyme' is a broader term that encompasses a wide range of enzymes involved in biosynthetic processes, without specifying the exact reaction or pathway. This change represents a loss of specificity regarding the enzyme's function and its classification within the EC system, thus broadening the scope of the annotation."""
ATP synthase F0 sector subunit a (EC 7.1.2.2),Membrane protein,Different,"The original annotation 'ATP synthase F0 sector subunit a (EC 7.1.2.2)' refers to a specific subunit of the ATP synthase complex involved in proton translocation and ATP synthesis, with a defined enzymatic activity as indicated by the EC number. The updated annotation 'Membrane protein' is a broad and general term that does not specify any particular function, subunit, or enzymatic activity. The original annotation is specific to a well-characterized component of a multi-subunit enzyme complex, whereas the updated annotation lacks specificity and does not convey the same biological function or context. Therefore, these annotations describe completely distinct biological entities."""
DNA mismatch repair protein MutS,DNA-binding protein,Different,"The original annotation ""DNA mismatch repair protein MutS"" refers to a specific protein involved in the DNA mismatch repair pathway, which is a highly specialized function related to maintaining genomic integrity by recognizing and repairing mismatches in DNA. MutS is part of a well-characterized protein family with a defined role in this repair process. In contrast, the updated annotation ""DNA-binding protein"" is a broad category that encompasses any protein capable of binding to DNA, which includes a wide variety of proteins with diverse functions, not limited to mismatch repair. The updated term lacks the specificity of the original annotation and does not imply the same functional role or mechanism. Therefore, these annotations describe completely distinct biological entities"
Glutamine synthetase (EC 6.3.1.2),Nitrogen metabolism enzyme,Broader,"The original annotation ""Glutamine synthetase (EC 6.3.1.2)"" refers to a specific enzyme responsible for catalyzing the ATP-dependent conversion of glutamate and ammonia to glutamine, a key reaction in nitrogen metabolism. The updated annotation ""Nitrogen metabolism enzyme"" is broader because it encompasses a wide range of enzymes involved in various processes of nitrogen metabolism, not limited to glutamine synthetase. This broader term includes other enzymes that participate in nitrogen assimilation, transformation, and utilization, thus losing the specificity provided by the EC number and the precise function of glutamine synthetase"
Type IV pilus assembly protein PilM,Pilus protein,Broader,"The original annotation ""Type IV pilus assembly protein PilM"" specifies a particular protein involved in the assembly of Type IV pili, which are complex structures used by bacteria for motility and adhesion. The updated annotation ""Pilus protein"" is broader because it refers to any protein associated with pilus structures, without specifying the type (e.g., Type IV) or the specific role in assembly. This change encompasses a wider range of proteins that could be involved in various types of pili and their functions, thus losing the specificity of the original annotation"
Acyl-CoA dehydrogenase,Oxidoreductase,Broader,"The term ""Acyl-CoA dehydrogenase"" refers to a specific enzyme that catalyzes the dehydrogenation of acyl-CoA derivatives, typically associated with fatty acid metabolism and classified under EC 1.3.99.3. In contrast, ""Oxidoreductase"" is a broader category encompassing all enzymes that catalyze oxidation-reduction reactions, which includes not only acyl-CoA dehydrogenases but also a wide range of other enzymes with different substrates and mechanisms. The updated term loses the specificity of the substrate and the particular reaction type, thus broadening the scope from a specific enzyme to a general class of enzymes"
Adenylate kinase,Nucleotide kinase,Broader,"The updated annotation 'Nucleotide kinase' encompasses a broader category than 'Adenylate kinase'. Adenylate kinase specifically catalyzes the interconversion of adenine nucleotides (ATP, ADP, AMP), whereas 'Nucleotide kinase' refers to a general class of enzymes that phosphorylate nucleotides, potentially including adenylate kinase but also other kinases that act on different nucleotides. This change reflects a shift from a specific enzyme to a broader enzyme class, consistent with database conventions where broader terms are used to describe general functions or families."""
CRISPR-associated endonuclease Cas9,Nuclease,Different,"The original annotation 'CRISPR-associated endonuclease Cas9' refers to a specific protein known for its role in the CRISPR-Cas9 system, which is a precise genome editing tool. Cas9 is a well-characterized endonuclease that cleaves DNA at specific sites guided by RNA. The updated annotation 'Nuclease' is a general term that refers to any enzyme capable of cleaving nucleic acids, without specifying the mechanism, substrate specificity, or biological context. This change represents a shift from a specific, well-defined protein with a unique function to a broad category of enzymes, thus indicating distinct biological entities."""
Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Phage lytic enzyme,Broader,"The original annotation ""Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)"" specifies a particular enzymatic activity associated with phage lysis, namely the cleavage of the bond between N-acetylmuramoyl and L-alanine in bacterial cell walls. This is a specific function with an assigned EC number, indicating a precise biochemical activity. The updated annotation ""Phage lytic enzyme"" is broader, as it encompasses a range of enzymes involved in phage-mediated lysis, which may include various types of endolysins and other lytic enzymes without specifying the exact mechanism or substrate specificity. The updated term loses the specificity provided by the EC number and the detailed substrate interaction described in the original annotation, thus broadening the scope to include potentially other lytic activities beyond the amidase function"
Flagellar motor switch protein FliG,Flagellar protein,Broader,"The original annotation ""Flagellar motor switch protein FliG"" specifies a particular protein involved in the flagellar motor switch mechanism, which is crucial for bacterial motility. The updated annotation ""Flagellar protein"" is broader as it encompasses a wide range of proteins associated with the flagellum, including structural, regulatory, and motor components. The updated term loses the specificity of the original annotation, which identifies a specific protein with a defined role in the flagellar motor function. This change reflects a shift from a specific protein to a general category of flagellar-associated proteins, consistent with database conventions where broader terms are used to describe general protein families or complexes"
Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129),Cell wall biosynthesis enzyme,Broader,"The original annotation 'Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129)' specifies a particular enzyme involved in peptidoglycan biosynthesis, with a defined EC number indicating its role in glycosyltransferase activity. The updated annotation 'Cell wall biosynthesis enzyme' is broader, as it encompasses a range of enzymes involved in the biosynthesis of the cell wall, not limited to glycosyltransferases. This change reflects a shift from a specific enzyme function to a general category of enzymes involved in cell wall biosynthesis, which may include various types of enzymes beyond glycosyltransferases."""
Oxygen-dependent coproporphyrinogen-III oxidase (EC 1.3.3.3),Oxidase,Broader,"The original annotation ""Oxygen-dependent coproporphyrinogen-III oxidase (EC 1.3.3.3)"" specifies a particular enzyme with a defined function and EC number, indicating its role in the oxidative decarboxylation of coproporphyrinogen-III to protoporphyrinogen-IX, a step in heme biosynthesis. The updated annotation ""Oxidase"" is a general term that encompasses a wide range of enzymes that catalyze oxidation-reduction reactions, without specifying the substrate, mechanism, or EC number. Therefore, the updated term is broader as it loses the specificity of the original enzyme's function and classification"
Urease subunit alpha (EC 3.5.1.5),Hydrolase,Broader,"The original annotation ""Urease subunit alpha (EC 3.5.1.5)"" specifies a particular enzyme subunit involved in the hydrolysis of urea, with a precise EC number indicating its enzymatic activity. The updated annotation ""Hydrolase"" is a broader term that encompasses a wide range of enzymes that catalyze the hydrolysis of various chemical bonds, including but not limited to ureases. The term ""Hydrolase"" lacks the specificity of the original annotation, which includes the specific subunit and EC number, thus broadening the scope from a specific enzyme to a general class of enzymes"
Phage major capsid protein,Phage structural protein,Broader,"The original annotation ""Phage major capsid protein"" refers specifically to the main protein component forming the capsid of a phage, which is a well-defined structural role. The updated annotation ""Phage structural protein"" is broader because it encompasses not only the major capsid protein but potentially other structural proteins involved in the phage architecture, such as tail proteins or baseplate proteins. This change reflects a shift from a specific structural role to a more general category of phage structural components, consistent with conventions in phage protein family databases where structural proteins are grouped under broader categories"
DNA-directed RNA polymerase subunit beta,Transcription enzyme,Broader,"The original annotation ""DNA-directed RNA polymerase subunit beta"" refers to a specific subunit of the RNA polymerase enzyme complex, which is responsible for catalyzing the transcription of DNA into RNA. This subunit is part of a multi-subunit enzyme complex with a defined role in the transcription process. The updated annotation ""Transcription enzyme"" is broader because it encompasses the entire class of enzymes involved in transcription, not just the specific subunit beta of the RNA polymerase. The updated term loses the specificity of the subunit and the particular role within the RNA polymerase complex, thus broadening the scope to include potentially any enzyme involved in transcription"
Serine hydroxymethyltransferase (EC 2.1.2.1),Transferase,Broader,"The original annotation ""Serine hydroxymethyltransferase (EC 2.1.2.1)"" specifies a particular enzyme with a defined function, catalyzing the conversion of serine to glycine and tetrahydrofolate to 5,10-methylenetetrahydrofolate. The updated annotation ""Transferase"" is a broader term that encompasses a wide range of enzymes that transfer functional groups from one molecule to another, including but not limited to serine hydroxymethyltransferase. The loss of the specific EC number and substrate specificity in the updated annotation indicates a shift from a specific enzyme to a general enzyme class, which is consistent with the conventions used in biological databases to denote broader categories"
Dihydrofolate reductase (EC 1.5.1.3),Oxidoreductase,Broader,"The original annotation 'Dihydrofolate reductase (EC 1.5.1.3)' specifies a particular enzyme with a defined function in folate metabolism, characterized by its EC number indicating it is an oxidoreductase acting on the CH-NH group of donors with NAD+ or NADP+ as acceptor. The updated annotation 'Oxidoreductase' is a broader term that encompasses a wide range of enzymes, including dihydrofolate reductase, but does not specify the particular substrate or reaction mechanism. This change reflects a shift from a specific enzyme to a general enzyme class, losing the specificity provided by the EC number."""
