original_annotation,new_annotation,label,evidence
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) (EC 1.2.1.12),Exact,"Both annotations refer to the same enzyme, NAD-dependent glyceraldehyde-3-phosphate dehydrogenase, with the same EC number (1.2.1.12), which confirms the specific enzymatic activity of oxidizing glyceraldehyde-3-phosphate to 1,3-bisphosphoglycerate using NAD+ as a cofactor. The updated annotation includes the term ""phosphorylating,"" which is a common descriptor for this enzyme's activity, as it involves the phosphorylation of the substrate. This addition does not change the identity or function of the enzyme but rather clarifies the mechanism, which is already implied by the EC number. Therefore, the relationship between the two annotations is exact, as they describe the identical biological entity with only a minor difference in phrasing"
Multidrug resistance protein MdtH,Uncharacterized MFS-type transporter YajR,Unknown,"""DIFFERENT — The original annotation 'Multidrug resistance protein MdtH' refers to a specific protein known for its role in conferring resistance to multiple drugs, typically associated with efflux mechanisms. The updated annotation 'Uncharacterized MFS-type transporter YajR' describes a protein belonging to the Major Facilitator Superfamily (MFS), which is a large and diverse group of transporters. While MFS transporters can be involved in drug resistance, the term 'uncharacterized' suggests that the specific function of YajR has not been determined, and it may not necessarily be involved in multidrug resistance. Therefore, these annotations describe distinct biological entities with different levels of characterization and potentially different functions."""
"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",6-phosphogluconate dehydrogenase [decarboxylating] (EC 1.1.1.44),Exact,"The annotations ""6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"" and ""6-phosphogluconate dehydrogenase [decarboxylating] (EC 1.1.1.44)"" refer to the identical enzyme, as indicated by the unchanged EC number 1.1.1.44, which specifies the same enzymatic activity. The difference between the two annotations is purely a matter of formatting, with the updated version using brackets instead of a comma to denote the decarboxylating function. This is a minor punctuation change that does not affect the biological identity or function of the enzyme, consistent with conventions in curated databases where such formatting variations are considered equivalent"
Malate:quinone oxidoreductase (EC 1.1.5.4),Malate dehydrogenase (quinone) (EC 1.1.5.4),Exact,"The annotations ""Malate:quinone oxidoreductase (EC 1.1.5.4)"" and ""Malate dehydrogenase (quinone) (EC 1.1.5.4)"" refer to the same enzyme activity, as indicated by the identical EC number 1.1.5.4. This EC number specifies an enzyme that catalyzes the oxidation of malate to oxaloacetate using quinone as an electron acceptor. The difference in naming is a minor variation in phrasing, with both terms describing the same enzymatic function. Such variations are common in biological databases, where alternative but equivalent nomenclature is used to describe the same entity"
Inositol-1-monophosphatase (EC 3.1.3.25),Nus factor SuhB @ Inositol-1-monophosphatase (EC 3.1.3.25),Related,"The original annotation ""Inositol-1-monophosphatase (EC 3.1.3.25)"" describes a specific enzyme activity involved in the hydrolysis of inositol monophosphate. The updated annotation ""Nus factor SuhB @ Inositol-1-monophosphatase (EC 3.1.3.25)"" introduces a new element, ""Nus factor SuhB,"" which suggests a functional or regulatory role associated with the enzyme activity. Nus factors are typically involved in transcriptional regulation, indicating that SuhB may have a dual role or be part of a complex that includes inositol-1-monophosphatase activity. While both annotations mention the same enzymatic activity, the updated annotation implies additional biological context or function, making them related but not equivalent"
tRNA-specific adenosine-34 deaminase (EC 3.5.4.33),tRNA adenosine(34) deaminase (EC 3.5.4.33),Exact,"The annotations ""tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)"" and ""tRNA adenosine(34) deaminase (EC 3.5.4.33)"" refer to the same enzyme activity, as indicated by the identical EC number 3.5.4.33, which specifies the enzymatic function of deaminating adenosine at position 34 in tRNA. The difference in wording is a minor formatting change, with the updated version simplifying the phrasing without altering the biological entity or its function. Both annotations describe the same enzyme with the same specificity, and the change in wording does not affect the meaning or classification according to established database conventions"
Chaperone protein DnaK,Heat shock protein 70,Unknown,"""SYNONYM — The terms 'Chaperone protein DnaK' and 'Heat shock protein 70' refer to the same biological entity, specifically the Hsp70 family of heat shock proteins. DnaK is the bacterial homolog of the eukaryotic Hsp70, and both terms are used interchangeably in biological databases to describe this protein's function in stress response and protein folding. This naming convention is recognized across various databases, including UniProt and SwissProt, where DnaK is classified under the Hsp70 family, confirming their synonymy."""
Outer membrane protein A,OmpA protein,Exact,"The terms ""Outer membrane protein A"" and ""OmpA protein"" refer to the same biological entity, with ""OmpA"" being a widely recognized abbreviation for ""Outer membrane protein A"" in bacterial nomenclature. The addition of ""protein"" in the updated annotation does not change the identity of the entity, as both terms describe the same protein found in the outer membrane of Gram-negative bacteria. This is consistent with naming conventions in biological databases such as UniProt, where ""OmpA"" is commonly used as a synonym for ""Outer membrane protein A."""
Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"The annotations ""Phage tail length tape-measure protein T"" and ""Phage tail, tail length tape-measure protein"" refer to the same biological entity with only minor formatting differences. The updated annotation rearranges the phrasing but retains the same meaning, focusing on the tape-measure protein involved in determining the length of the phage tail. This is consistent with naming conventions where the function and structural role are preserved, and the addition of commas does not alter the biological identity"
"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)",Methylenetetrahydrofolate reductase (NAD(P)H) (EC 1.5.1.20),Exact,"The annotations ""5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"" and ""Methylenetetrahydrofolate reductase (NAD(P)H) (EC 1.5.1.20)"" refer to the same enzyme, as indicated by the identical EC number 1.5.1.20, which specifies the enzyme's function in catalyzing the reduction of 5,10-methylenetetrahydrofolate using NAD(P)H as a cofactor. The updated annotation includes the cofactor specificity (NAD(P)H), which is consistent with the enzyme's known activity and does not alter the fundamental identity of the enzyme. This is a minor update that provides additional detail without changing the biological entity described, aligning with conventions in curated databases like UniProt and SwissProt"
LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Exact,"The original and updated annotations refer to the identical biological entity, LSU rRNA pseudouridine(1911/1915/1917) synthase, with the same EC number (5.4.99.23), indicating the same enzymatic activity. The addition of ""RluD"" in the updated annotation is a minor formatting change that provides a specific gene name commonly used in biological databases to refer to this enzyme. This does not alter the biological identity or function described, and such naming conventions are standard practice in curated databases like SwissProt and UniProt"
tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Exact,"The original and updated annotations refer to the identical biological entity, tRNA (guanine(37)-N(1))-methyltransferase, with the same EC number (2.1.1.228), indicating no change in the enzyme's classification or function. The addition of ""## TrmD"" in the updated annotation is a minor formatting change that provides a specific gene name commonly associated with this enzyme in various databases, such as UniProt and KEGG. This does not alter the biological identity or function of the enzyme, thus maintaining the exact relationship between the two annotations"
16S rRNA processing protein RimM,Bacterial SSU rRNA processing protein RimM,Exact,"The annotations ""16S rRNA processing protein RimM"" and ""Bacterial SSU rRNA processing protein RimM"" refer to the same biological entity, RimM, which is involved in the processing of the small subunit (SSU) rRNA, specifically the 16S rRNA in bacteria. The updated annotation uses ""SSU rRNA"" as a synonym for ""16S rRNA,"" which is a common nomenclature practice in biological databases to refer to the small subunit ribosomal RNA. Both terms describe the same protein function and context, with the updated version providing a slightly more standardized phrasing without altering the fundamental identity or function of the protein"
Carbon storage regulator,RNA-binding protein CsrA,Related,"The original annotation ""Carbon storage regulator"" and the updated annotation ""RNA-binding protein CsrA"" describe related but non-equivalent biological entities. The term ""Carbon storage regulator"" generally refers to a regulatory role in carbon metabolism, often associated with the CsrA protein, which is known to bind RNA and influence gene expression related to carbon storage and metabolism. However, ""RNA-binding protein CsrA"" specifies the molecular function of the protein, emphasizing its role in RNA binding. While CsrA is indeed involved in carbon storage regulation, the updated term focuses on its specific biochemical activity rather than its broader regulatory role. This distinction aligns with database conventions where functional specificity is highlighted, and the relationship between the terms reflects different aspects of the same biological process"
DNA gyrase subunit B (EC 5.99.1.3),DNA gyrase subunit B (EC 5.6.2.2),Different,"The original annotation (EC 5.99.1.3) and the updated annotation (EC 5.6.2.2) refer to distinct enzyme classifications. EC 5.99.1.3 was historically used for DNA gyrase, which is involved in introducing negative supercoils into DNA, a function associated with topoisomerases. However, EC 5.6.2.2 represents a reclassification under a different category, specifically for enzymes that catalyze the introduction of supercoils into DNA, reflecting a more precise understanding of the enzyme's mechanism. This change in EC number indicates a shift in the understanding of the enzyme's activity, suggesting that the updated annotation represents a different functional classification rather than a simple update or synonym. Therefore, these annotations describe distinct biological entities according to the EC classification system"
Alkyl hydroperoxide reductase protein C (EC 1.11.1.15),NADH-dependent alkyl hydroperoxide reductase component AhpC (EC 1.11.1.26),Different,"The original annotation ""Alkyl hydroperoxide reductase protein C (EC 1.11.1.15)"" and the updated annotation ""NADH-dependent alkyl hydroperoxide reductase component AhpC (EC 1.11.1.26)"" describe distinct biological entities based on their EC numbers and functional descriptions. EC 1.11.1.15 refers to an enzyme that reduces hydroperoxides using thioredoxin as an electron donor, while EC 1.11.1.26 specifies an enzyme that uses NADH as an electron donor. The change in EC number indicates a fundamental shift in the electron donor mechanism, reflecting different enzymatic activities. This distinction is supported by enzyme classification conventions, which categorize enzymes based on their specific reaction mechanisms and substrates"
Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1),"Succinate dehydrogenase (quinone), iron-sulfur subunit (EC 1.3.5.1)",Exact,"The annotations refer to the same biological entity, the succinate dehydrogenase iron-sulfur protein, with minor formatting differences. Both annotations include the EC number 1.3.5.1, which corresponds to succinate dehydrogenase (quinone), indicating the same enzymatic activity. The updated annotation specifies ""quinone"" and ""iron-sulfur subunit,"" which are consistent with the function and structure of the enzyme complex, but these additions do not change the fundamental identity of the protein. The inclusion of ""quinone"" aligns with the systematic naming convention for this enzyme, and the specification of ""iron-sulfur subunit"" provides additional structural detail without altering the core function described by the EC number. Therefore, the relationship between the two annotations is exact, reflecting the same protein with added specificity that does not change its identity"
Queuine tRNA-ribosyltransferase (EC 2.4.2.29),tRNA-guanosine(34) preQ1 transglycosylase (EC 2.4.2.29),Exact,"Both annotations refer to the same enzyme activity, as indicated by the identical EC number (2.4.2.29), which specifies the enzyme class and function. The updated annotation provides a more precise description of the substrate specificity, indicating the position of guanosine (34) in tRNA and the precursor molecule preQ1 involved in the transglycosylation process. This reflects a minor formatting update to enhance clarity without altering the fundamental identity of the enzyme. The naming conventions are consistent with those used in curated databases, where specificity in substrate and reaction type is often added for clarity"
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8),Phosphoadenylyl-sulfate reductase (thioredoxin) (EC 1.8.4.8),Exact,"The annotations ""Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)"" and ""Phosphoadenylyl-sulfate reductase (thioredoxin) (EC 1.8.4.8)"" refer to the identical biological entity, with only minor formatting differences. The change from square brackets to parentheses does not alter the meaning or function of the enzyme, as both indicate the involvement of thioredoxin in the enzymatic activity. The EC number remains consistent, confirming the same enzymatic function. This type of formatting adjustment is common in curated databases and does not affect the biological identity of the enzyme"
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1),Aspartate aminotransferase (EC 2.6.1.3),Different,"The original annotation ""Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1)"" describes a specific enzyme involved in the biosynthesis of aromatic amino acids, with EC 2.6.1.57 indicating its specific activity. The updated annotation ""Aspartate aminotransferase (EC 2.6.1.3)"" refers to a different enzyme with a distinct EC number, indicating a different substrate specificity and function. EC 2.6.1.3 is associated with the general activity of transferring amino groups from aspartate, which is unrelated to the biosynthesis of aromatic amino acids. The change in EC numbers from 2.6.1.57 to 2.6.1.3 reflects a fundamental difference in enzymatic activity and biological role, confirming that these annotations describe distinct entities"
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227),Exact,"Both annotations refer to the same enzyme activity, as indicated by the identical EC number (2.4.1.227), which specifies the enzyme as a transferase involved in the transfer of N-acetylglucosamine to undecaprenyldiphospho-muramoylpentapeptide. The differences in wording reflect alternative but equivalent phrasing for the same enzymatic function, with both names describing the transfer of N-acetylglucosamine to a lipid-linked oligosaccharide precursor in bacterial cell wall biosynthesis. The updated annotation uses a more systematic naming convention, but both describe the same biological entity without altering the functional description"
D-alanine--D-alanine ligase (EC 6.3.2.4),D-alanine--D-alanine ligase (EC 6.3.2.4) ## cluster A,Exact,"The annotations ""D-alanine--D-alanine ligase (EC 6.3.2.4)"" and ""D-alanine--D-alanine ligase (EC 6.3.2.4) ## cluster A"" refer to the identical enzyme, as indicated by the unchanged EC number 6.3.2.4, which specifies the enzyme's catalytic activity. The addition of ""## cluster A"" appears to be an internal or organizational label that does not alter the biological identity or function of the enzyme. This is consistent with database conventions where such annotations are used for grouping or clustering purposes without affecting the core functional description"
Cell division trigger factor (EC 5.2.1.8),Trigger factor (EC 5.2.1.8),Exact,"The annotations ""Cell division trigger factor (EC 5.2.1.8)"" and ""Trigger factor (EC 5.2.1.8)"" refer to the same biological entity, as evidenced by the identical EC number, 5.2.1.8, which indicates the same enzymatic activity. The term ""Cell division"" in the original annotation is a descriptive addition that specifies the biological context in which the trigger factor operates, but does not change the identity of the enzyme itself. The updated annotation simplifies the name to ""Trigger factor,"" which is a recognized name for this enzyme in biological databases, without altering its functional identity. This change reflects a minor formatting difference rather than a change in biological function or classification"
Rod shape-determining protein RodA,Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129),Unknown,"""RELATED — The original annotation 'Rod shape-determining protein RodA' refers to a protein involved in determining the rod shape of bacterial cells, typically associated with the cell wall synthesis machinery. The updated annotation 'Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129)' specifies an enzyme activity related to peptidoglycan synthesis, which is a key component of the bacterial cell wall. While both annotations are related to cell wall synthesis and maintenance, they describe different aspects: RodA is more about the structural role in shape determination, whereas MrdB is specifically about the enzymatic activity in peptidoglycan biosynthesis. These annotations describe related but non-equivalent biological entities within the context of bacterial cell wall formation."""
Colicin V production protein,Protein CvpA required for colicin V production,Related,"The original annotation ""Colicin V production protein"" refers to a protein involved in the production of colicin V, a type of bacteriocin. The updated annotation ""Protein CvpA required for colicin V production"" specifies a particular protein, CvpA, which is necessary for the production of colicin V. While both annotations are related to the production of colicin V, the updated annotation identifies a specific protein involved in the process, suggesting a more precise role within the broader context of colicin V production. This indicates that the annotations describe related but non-equivalent biological entities, with the updated annotation providing more specific information about the protein's role"
Transcription termination protein NusB,Transcription antitermination protein NusB,Unknown,"""RELATED — The terms 'transcription termination protein NusB' and 'transcription antitermination protein NusB' describe related but distinct functions of the NusB protein. NusB is involved in the regulation of transcription, specifically in the processes of termination and antitermination. While both functions are related to transcription regulation, they represent different roles: termination refers to the cessation of transcription, whereas antitermination refers to the continuation of transcription past termination signals. This distinction is recognized in biological databases, where NusB is often associated with both processes, but the terms themselves highlight different aspects of its function."""
Glucose-6-phosphate isomerase,Isomerase,Broader,"The original annotation ""Glucose-6-phosphate isomerase"" refers to a specific enzyme that catalyzes the isomerization of glucose-6-phosphate to fructose-6-phosphate, typically classified under EC 5.3.1.9. The updated annotation ""Isomerase"" is a broader term that encompasses a wide range of enzymes that catalyze the isomerization of molecules, including but not limited to glucose-6-phosphate isomerase. This change reflects a shift from a specific enzyme to a general enzyme class, losing the specificity of the substrate and reaction type described in the original annotation"
Phage tail fiber protein,Phage structural protein,Broader,"The original annotation ""Phage tail fiber protein"" specifies a particular structural component of a bacteriophage, which is involved in host recognition and attachment. The updated annotation ""Phage structural protein"" is broader, as it encompasses a wider range of structural components within a phage, including tail fibers, capsid proteins, and other structural elements. This change reflects a generalization from a specific structural role to a broader category of phage structural components, consistent with conventions in phage protein family databases where structural proteins are categorized more generally"
Alanine racemase,Racemase,Unknown,"""BROADER — The updated annotation 'Racemase' is broader than the original 'Alanine racemase'. Alanine racemase is a specific type of racemase that catalyzes the conversion of L-alanine to D-alanine, typically classified under EC 5.1.1.1. The term 'Racemase' refers to a general class of enzymes that catalyze the conversion of one stereoisomer to another, without specifying the substrate. Therefore, 'Racemase' encompasses a wider range of enzymes beyond just alanine racemase, including those acting on other amino acids or substrates."""
NADH dehydrogenase subunit 1,Respiratory chain protein,Unknown,"""BROADER — The original annotation 'NADH dehydrogenase subunit 1' refers to a specific subunit of the NADH dehydrogenase complex, which is part of the respiratory chain. The updated annotation 'Respiratory chain protein' is broader as it encompasses any protein involved in the respiratory chain, not limited to NADH dehydrogenase subunit 1. This change reflects a shift from a specific protein subunit to a general category of proteins involved in the respiratory process, losing the specificity of the original annotation."""
DNA polymerase III subunit alpha,DNA polymerase,Broader,"The original annotation ""DNA polymerase III subunit alpha"" refers specifically to the alpha subunit of DNA polymerase III, which is a part of the multi-subunit DNA polymerase III complex responsible for the majority of DNA synthesis in bacteria. The updated annotation ""DNA polymerase"" is broader as it encompasses the entire class of DNA polymerases, which includes various types such as DNA polymerase I, II, III, and others, each with distinct subunits and functions. The updated term loses the specificity of the subunit and the particular polymerase complex, thus broadening the scope from a specific subunit to a general enzyme class"
DNA ligase (NAD+) (EC 6.5.1.2),DNA-binding protein,Different,"The original annotation ""DNA ligase (NAD+) (EC 6.5.1.2)"" refers to a specific enzyme that catalyzes the joining of DNA strands using NAD+ as a cofactor, classified under EC 6.5.1.2. This is a distinct enzymatic activity with a defined role in DNA repair and replication. The updated annotation ""DNA-binding protein"" is a broad term that refers to any protein capable of interacting with DNA, which may or may not have enzymatic activity. DNA-binding proteins can include transcription factors, structural proteins, and other non-enzymatic roles. The two annotations describe fundamentally different biological entities, with the original being a specific enzyme and the updated being a general category of proteins with diverse functions"
Phage portal protein,Phage protein,Broader,"The original annotation ""Phage portal protein"" refers to a specific structural component of a bacteriophage, which is involved in forming the portal through which DNA is packaged into the phage capsid. The updated annotation ""Phage protein"" is more general and encompasses a wider range of proteins associated with phages, including but not limited to portal proteins. This change reflects a loss of specificity regarding the protein's role and function within the phage structure, thus broadening the scope of the annotation"
DNA gyrase subunit A (EC 5.6.2.2),DNA topoisomerase,Unknown,"""RELATED — The original annotation 'DNA gyrase subunit A (EC 5.6.2.2)' refers to a specific subunit of the DNA gyrase enzyme, which is a type of DNA topoisomerase involved in introducing negative supercoils into DNA. The updated annotation 'DNA topoisomerase' is a broader term that encompasses various enzymes, including DNA gyrase, that alter the topological states of DNA. While DNA gyrase is a specific type of topoisomerase (Type II), the term 'DNA topoisomerase' could refer to either Type I or Type II enzymes, or even other subunits within the same enzyme complex. Therefore, these annotations describe related but non-equivalent biological entities, as they refer to different levels of specificity within the topoisomerase family."""
3-dehydroquinate synthase (EC 4.2.3.4),Biosynthetic enzyme,Unknown,"""Broader — The original annotation '3-dehydroquinate synthase (EC 4.2.3.4)' specifies a particular enzyme with a defined catalytic activity involved in the shikimate pathway, as indicated by its EC number. The updated annotation 'Biosynthetic enzyme' is a more general term that encompasses a wide range of enzymes involved in biosynthetic processes, without specifying the particular reaction or pathway. This broader term loses the specificity provided by the EC number and the specific function of 3-dehydroquinate synthase."""
ATP synthase F0 sector subunit a (EC 7.1.2.2),Membrane protein,Unknown,"""DIFFERENT — The original annotation 'ATP synthase F0 sector subunit a (EC 7.1.2.2)' refers to a specific subunit of the ATP synthase complex, which is involved in the synthesis of ATP through proton translocation across the membrane. This is a well-defined function with an associated EC number indicating its role in energy conversion. The updated annotation 'Membrane protein' is a very general term that could refer to any protein located in a membrane, without specifying its function, role, or mechanism. The lack of specificity in the updated annotation means it does not capture the specific enzymatic activity or structural role of the ATP synthase subunit, thus representing a completely distinct biological entity."""
DNA mismatch repair protein MutS,DNA-binding protein,Different,"The original annotation ""DNA mismatch repair protein MutS"" refers to a specific protein involved in the DNA mismatch repair pathway, which is a highly specialized function. MutS is part of the MutS/MutL/MutH system that identifies and repairs mismatches in DNA. The updated annotation ""DNA-binding protein"" is a much broader term that encompasses any protein capable of binding to DNA, which includes a wide variety of proteins with different functions, such as transcription factors, nucleases, and structural proteins. The updated term does not specify the mismatch repair function and could refer to any protein with DNA-binding capability, making these annotations describe distinct biological entities"
Glutamine synthetase (EC 6.3.1.2),Nitrogen metabolism enzyme,Broader,"The original annotation ""Glutamine synthetase (EC 6.3.1.2)"" refers to a specific enzyme responsible for catalyzing the ATP-dependent conversion of glutamate and ammonia to glutamine, a key reaction in nitrogen metabolism. The updated annotation ""Nitrogen metabolism enzyme"" is broader because it encompasses a wide range of enzymes involved in various processes of nitrogen metabolism, not limited to glutamine synthetase. This broader term includes other enzymes that participate in nitrogen assimilation, transformation, and utilization, thus losing the specificity provided by the EC number and the precise function of glutamine synthetase"
Type IV pilus assembly protein PilM,Pilus protein,Broader,"The original annotation ""Type IV pilus assembly protein PilM"" specifies a particular protein involved in the assembly of Type IV pili, which are complex structures used by bacteria for motility and adhesion. The updated annotation ""Pilus protein"" is broader because it refers to any protein associated with pilus structures, without specifying the type (e.g., Type IV) or the specific role (assembly). This change encompasses a wider range of proteins that could be involved in various aspects of pilus formation or function, not limited to the assembly process or the Type IV category"
Acyl-CoA dehydrogenase,Oxidoreductase,Broader,"The term ""Acyl-CoA dehydrogenase"" refers to a specific enzyme that catalyzes the dehydrogenation of acyl-CoA derivatives, typically associated with fatty acid metabolism and classified under EC 1.3.99.x. In contrast, ""Oxidoreductase"" is a broader category encompassing all enzymes that catalyze oxidation-reduction reactions, which includes not only acyl-CoA dehydrogenases but also a wide range of other enzymes with different substrates and mechanisms. The updated term loses the specificity of the substrate and the particular reaction type, thus broadening the scope from a specific enzyme to a general class of enzymes"
Adenylate kinase,Nucleotide kinase,Unknown,"""BROADER — The updated annotation 'Nucleotide kinase' encompasses a broader category than 'Adenylate kinase'. Adenylate kinase specifically catalyzes the interconversion of adenine nucleotides (AMP, ADP, ATP), whereas 'Nucleotide kinase' refers to a general class of enzymes that phosphorylate nucleotides, potentially including adenylate kinase but also other kinases that act on different nucleotides. This change reflects a shift from a specific enzyme to a broader enzyme family, consistent with database conventions that categorize enzymes based on substrate specificity and function."""
CRISPR-associated endonuclease Cas9,Nuclease,Unknown,"""Broader — The original annotation 'CRISPR-associated endonuclease Cas9' refers to a specific protein known for its role in the CRISPR-Cas9 system, which is a precise genome editing tool. The updated annotation 'Nuclease' is a broader term that encompasses a wide range of enzymes capable of cleaving nucleic acids, without specifying the particular type or function associated with Cas9. The term 'nuclease' includes various enzymes with different specificities and mechanisms, whereas 'Cas9' is a specific endonuclease with a well-defined role in CRISPR-mediated DNA cleavage. Therefore, the updated annotation loses the specificity of the original term."""
Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Phage lytic enzyme,Broader,"The original annotation ""Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)"" specifies a particular enzymatic activity associated with phage lysis, namely the cleavage of the bond between N-acetylmuramoyl and L-alanine in peptidoglycan, which is a specific function of phage endolysins. The updated annotation ""Phage lytic enzyme"" is broader as it encompasses a range of enzymes involved in phage-induced lysis, which may include various types of endolysins with different specific activities, not limited to the amidase activity described by EC 3.5.1.28. This change reflects a shift from a specific enzymatic function to a general category of lytic enzymes, which may include other activities such as lysozymes or holins, thus broadening the scope of the annotation"
Flagellar motor switch protein FliG,Flagellar protein,Unknown,"""BROADER — The original annotation 'Flagellar motor switch protein FliG' refers to a specific protein involved in the flagellar motor switch mechanism, which is a critical component of bacterial flagellar motility. The updated annotation 'Flagellar protein' is broader as it encompasses a wide range of proteins associated with the flagellum, not limited to the motor switch function. This change reflects a generalization from a specific protein with a defined role to a broader category that includes various proteins involved in flagellar structure and function."""
Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129),Cell wall biosynthesis enzyme,Unknown,"""Broader — The original annotation 'Peptidoglycan glycosyltransferase MrdB (EC 2.4.1.129)' specifies a particular enzyme involved in peptidoglycan biosynthesis, with an EC number indicating its role as a glycosyltransferase. The updated annotation 'Cell wall biosynthesis enzyme' is broader, as it encompasses a range of enzymes involved in the biosynthesis of the cell wall, not limited to glycosyltransferases. This change reflects a shift from a specific enzyme function to a general category of enzymes involved in cell wall biosynthesis, which may include various types of enzymes beyond glycosyltransferases."""
Oxygen-dependent coproporphyrinogen-III oxidase (EC 1.3.3.3),Oxidase,Broader,"The original annotation ""Oxygen-dependent coproporphyrinogen-III oxidase (EC 1.3.3.3)"" specifies a particular enzyme with a defined function and EC number, indicating its role in the oxidative decarboxylation of coproporphyrinogen-III to protoporphyrinogen-IX, a step in heme biosynthesis. The updated annotation ""Oxidase"" is a general term that encompasses a wide range of enzymes that catalyze oxidation-reduction reactions involving oxygen. This broader term loses the specificity of the substrate and the particular reaction mechanism described by the original annotation, thus encompassing more than the original specific enzyme function"
Urease subunit alpha (EC 3.5.1.5),Hydrolase,Broader,"The original annotation ""Urease subunit alpha (EC 3.5.1.5)"" specifies a particular enzyme subunit involved in the hydrolysis of urea, with a precise EC number indicating its enzymatic activity. The updated annotation ""Hydrolase"" is a broader term that encompasses a wide range of enzymes that catalyze the hydrolysis of chemical bonds, including but not limited to ureases. The updated term loses the specificity of the enzyme subunit and its exact function, thus broadening the scope from a specific enzyme to a general class of enzymes. This classification aligns with database conventions where specific enzyme activities are categorized under broader enzyme classes"
Phage major capsid protein,Phage structural protein,Broader,"The original annotation ""Phage major capsid protein"" refers specifically to the main protein component forming the capsid of a phage, which is a well-defined structural role. The updated annotation ""Phage structural protein"" is broader as it encompasses not only the major capsid protein but potentially other structural proteins involved in the phage architecture, such as tail proteins or baseplate proteins. This change reflects a shift from a specific structural role to a more general category of phage proteins involved in structure, consistent with conventions in phage protein family databases where structural proteins are grouped together"
DNA-directed RNA polymerase subunit beta,Transcription enzyme,Broader,"The original annotation ""DNA-directed RNA polymerase subunit beta"" refers to a specific subunit of the RNA polymerase enzyme complex, which is responsible for transcribing DNA into RNA. This subunit is part of a multi-subunit enzyme complex that performs a specific function in the transcription process. The updated annotation ""Transcription enzyme"" is broader because it encompasses the entire class of enzymes involved in transcription, not just the specific subunit mentioned in the original annotation. The updated term loses the specificity of the subunit and the precise role within the RNA polymerase complex, thus broadening the scope to include potentially any enzyme involved in transcription"
Serine hydroxymethyltransferase (EC 2.1.2.1),Transferase,Unknown,"""BROADER — The original annotation 'Serine hydroxymethyltransferase (EC 2.1.2.1)' specifies a particular enzyme with a defined function and EC number, indicating its role in transferring a hydroxymethyl group from serine. The updated annotation 'Transferase' is a general term that encompasses a wide range of enzymes that catalyze the transfer of functional groups, including but not limited to serine hydroxymethyltransferase. This broader term loses the specificity provided by the EC number and the specific substrate and reaction type, thus encompassing more than the original annotation."""
Dihydrofolate reductase (EC 1.5.1.3),Oxidoreductase,Broader,"The original annotation ""Dihydrofolate reductase (EC 1.5.1.3)"" specifies a particular enzyme with a defined function, reducing dihydrofolate to tetrahydrofolate, and is classified under EC 1.5.1.3. The updated annotation ""Oxidoreductase"" refers to a broad class of enzymes that catalyze oxidation-reduction reactions, encompassing many different specific enzymes, including dihydrofolate reductase. The term ""Oxidoreductase"" lacks the specificity of the EC number and the specific substrate and product involved in the reaction, thus representing a broader category"
Ribosomal protein S12 methylthiotransferase (EC 2.8.4.4),Methyltransferase,Broader,"The original annotation ""Ribosomal protein S12 methylthiotransferase (EC 2.8.4.4)"" specifies a particular enzyme with a defined function, namely the methylthiolation of ribosomal protein S12, which is a specific activity associated with the EC number 2.8.4.4. The updated annotation ""Methyltransferase"" is broader because it refers to a general class of enzymes that transfer methyl groups, without specifying the substrate (ribosomal protein S12) or the specific type of methylation (methylthiolation). The loss of the EC number and specific substrate in the updated annotation indicates a shift from a specific enzyme to a general enzyme class, which encompasses a wider range of activities beyond the original annotation"
